sampleName,abName,date,description,reference
PD10_XXL_YF0228-10,5840,batch1_20220311,P1-rep2,rVSVOmicron
PD10_XXL_YF0228-14,5840,batch1_20220311,P2-rep1,rVSVOmicron
PD10_XXL_YF0228-15,5514,batch1_20220311,P2-rep1,rVSVOmicron
PD10_XXL_YF0228-16,5514,batch1_20220311,P2-rep2,rVSVOmicron
PD10_XXL_YF0228-20,5840,batch1_20220311,P2-rep2,rVSVOmicron
PD10_XXL_YF0228-4,5840,batch1_20220311,P1-rep1,rVSVOmicron
PD10_XXL_YF0228-5,5514,batch1_20220311,P1-rep1,rVSVOmicron
PD10_XXL_YF0228-6,5514,batch1_20220311,P1-rep2,rVSVOmicron
